,Bacon,Current Price,Unit Price,Sale,Store Location,Url
24,Boar's Head Bratwurst - 16 Ounce,$8.29,,$0.52/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
25,Boar's Head Bratwurst - 16 Ounce,$8.29,,$0.52/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
26,Bilinski's Organic Wild Mushrooms With Italian Herbs Chicken Sausage - 12 Ounce,$7.49,,$0.62/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
27,Boar's Head All Natural Robust Italian Chicken Sausages - 12 Ounce,$8.99,,$0.75/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
28,Bilinski's Antibiotic Free Cajun Style Chicken & Peppers Blended Sausage - 12 Ounce,$4.49,was $5.99,$0.37/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
29,Boar's Head All Natural Honeycrisp Apple Chicken Sausages - 12 Ounce,$7.99,,$0.67/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
30,Beyond Meat Beyond Sausage Plant-based Original Brat Links - 14 Ounce,$6.99,was $8.99,$0.50/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
31,Beddar Cheddar - 14 Ounce,$4.99,,$0.36/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
32,Applegate Naturals Uncured Turkey Hot Dogs - 10 Ounce,$5.99,,$0.60/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
33,Applegate Naturals Uncured Beef Hot Dog - 10 Ounce,$5.79,,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
34,Applegate Naturals Gluten Free Uncured Beef Corn Dogs - 10 Ounce,$7.99,,$0.80/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
35,Applegate Naturals Do Good Dog Uncured Beef Hot Dogs 6ct - 10 Ounce,$7.99,,$0.80/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
36,Applegate Great Organic Uncured Beef Hot Dog - 14 Ounce,$8.99,,$0.64/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
37,Applegate Naturals Chicken & Sage Breakfast Sausage - 7 Ounce,$4.99,,$0.71/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
38,Pederson's Natural Farms No Sugar Uncured Hickory Bacon - 10 Ounce,$6.99,was $7.49,$0.70/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
39,Indiana Kitchen Hardwood Smoked Thick Cut Bacon - 16 Ounce,$6.49,,$0.41/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
40,Applegate Naturals Classic Pork Breakfast Sausage - 7 Ounce,$4.99,,$0.71/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
41,Apple Bulk Chicken Sausage - 1 Pound,$4.99 avg/ea,,$4.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
42,Andouille Sausage - 13.5 Ounce,$4.99,,$0.37/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
43,Deli Sliced Thick Cut Peppered Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
44,Deli Sliced Thick Cut Applewood Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
45,Beyond Meat Beyond Sausage Hot Italian Style Plant-based Sausages - 14 Ounce,$6.99,was $8.99,$0.50/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
46,Applegate Naturals Uncured Beef Hot Dog - 10 Ounce,$5.79,,$0.58/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
47,Applegate Naturals Gluten Free Uncured Beef Corn Dogs - 10 Ounce,$7.99,,$0.80/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
48,Beddar Cheddar - 14 Ounce,$4.99,,$0.36/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
49,Applegate Naturals Uncured Turkey Hot Dogs - 10 Ounce,$5.99,,$0.60/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
50,Applegate Naturals Uncured Hickory Smoked Sunday Bacon - 8 Ounce,$6.49,,$0.81/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
51,Fresh Thyme Smoked Sliced Uncured Bacon - 12 Ounce,$6.49,,$0.54/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
52,Farm Promise Smoked Hardwood Uncured Bacon - 12 Ounce,$6.99,,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
53,Farm Promise Smoked Applewood Uncured Bacon - 12 Ounce,$6.99,,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
54,Deli Sliced Thick Cut Peppered Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
55,Deli Sliced Thick Cut Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
56,Applegate Naturals Classic Pork Breakfast Sausage - 7 Ounce,$4.99,,$0.71/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
57,Applegate Naturals Do Good Dog Uncured Beef Hot Dogs 6ct - 10 Ounce,$7.99,,$0.80/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
58,Deli Sliced Thick Cut Applewood Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
59,Boar's Head Naturally Smoked Traditional Bacon - 16 Ounce,$6.99,was $7.99,$0.44/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
60,Applegate Naturals Chicken & Sage Breakfast Sausage - 7 Ounce,$4.99,,$0.71/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
61,Applegate Great Organic Uncured Beef Hot Dog - 14 Ounce,$8.99,,$0.64/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
62,Apple Bulk Chicken Sausage - 1 Pound,$4.99 avg/ea,,$4.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
63,Andouille Sausage - 13.5 Ounce,$4.99,,$0.37/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
64,Boar's Head Fully Cooked Traditional Bacon - 2.29 Ounce,$7.49,,$3.27/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
65,Boar's Head Canadian Style Uncured Bacon - 6 Ounce,$5.99,,$1.00/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
66,Hatfield Hardwood Smoked Uncured Bacon - 16 Ounce,$6.99,was $7.99,$0.44/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
67,Deli Sliced Thick Cut Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
68,Fresh Thyme Smoked Sliced Uncured Turkey Bacon - 12 Ounce,$4.69,,$0.39/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
69,Pederson's Natural Farms Organic No Sugar Uncured Smoked Bacon - 8 Ounce,$7.49,,$0.94/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
70,Fresh Thyme Fully Cooked Uncured Turkey Bacon - 2.14 Ounce,$3.99,,$1.86/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
71,Applegate Organics Uncured Hickory Smoked Turkey Bacon - 8 Ounce,$7.49,,$0.94/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
72,Indiana Kitchen Hardwood Smoked Bacon - 16 Ounce,$6.49,,$0.41/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
73,Pederson's Natural Farms No Sugar Uncured Hickory Bacon - 10 Ounce,$6.99,was $7.49,$0.70/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
74,Indiana Kitchen Hardwood Smoked Thick Cut Bacon - 16 Ounce,$6.49,,$0.41/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
75,Deli Sliced Thick Cut Peppered Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
76,Applegate Naturals Uncured Hickory Smoked Sunday Bacon - 8 Ounce,$6.49,,$0.81/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
77,Deli Sliced Thick Cut Peppered Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
78,Deli Sliced Thick Cut Applewood Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
79,Farm Promise Smoked Hardwood Uncured Bacon - 12 Ounce,$6.99,,$0.58/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
80,Deli Sliced Thick Cut Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
81,Deli Sliced Thick Cut Applewood Bacon In Bag - 3 Pound,$17.97 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
82,Farm Promise Smoked Applewood Uncured Bacon - 12 Ounce,$6.99,,$0.58/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
83,Fresh Thyme Smoked Sliced Uncured Bacon - 12 Ounce,$6.49,,$0.54/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
84,Boar's Head Uncured Turkey Bacon - 12 Ounce,$6.99,,$0.58/oz,"at Davenport, IA",https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
85,Boar's Head Naturally Smoked Traditional Bacon - 16 Ounce,$6.99,was $7.99,$0.44/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
86,Boar's Head Fully Cooked Traditional Bacon - 2.29 Ounce,$7.49,,$3.27/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
87,Deli Sliced Thick Cut Bacon - 1 Pound,$5.99 avg/ea,,$5.99/lb,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
88,Pederson's Natural Farms Organic No Sugar Uncured Smoked Bacon - 8 Ounce,$7.49,,$0.94/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
89,Hatfield Hardwood Smoked Uncured Bacon - 16 Ounce,$6.99,was $7.99,$0.44/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
90,Applegate Organics Uncured Hickory Smoked Turkey Bacon - 8 Ounce,$7.49,,$0.94/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
91,Fresh Thyme Smoked Sliced Uncured Turkey Bacon - 12 Ounce,$4.69,,$0.39/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
92,Fresh Thyme Fully Cooked Uncured Turkey Bacon - 2.14 Ounce,$3.99,,$1.86/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
93,Boar's Head Canadian Style Uncured Bacon - 6 Ounce,$5.99,,$1.00/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
94,Indiana Kitchen Hardwood Smoked Bacon - 16 Ounce,$6.49,,$0.41/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
95,Boar's Head Uncured Turkey Bacon - 12 Ounce,$6.99,,$0.58/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage
