Eggs,Current Price,Sale,Unit Price,Store Location,Url
Three Bridges Uncured Bacon & Cheese Egg Bites - 4.6 Ounce,$4.99,was $5.99,$1.08/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/three-bridges-uncured-bacon-&-cheese-egg-bites-00742753347291
Vital Farms Pasture-raised Hard Boiled Eggs 6ct - 0.5 Each,$5.99,was $6.49,$11.98 each,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/vital-farms-pastureraised-hard-boiled-eggs-6ct-00851387007645
Three Bridges Mushroom & Asiago Egg Bites - 4.6 Ounce,$4.99,was $5.99,$1.08/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/three-bridges-mushroom-&-asiago-egg-bites-00742753347253
Egglife Sweet Cinnamon Egg White Wraps - 6 Ounce,$5.79,was $6.99,$0.97/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/egglife-sweet-cinnamon-egg-white-wraps-00810023540090
Three Bridges Spinach & Bell Pepper Egg Bites - 4.6 Ounce,$4.99,was $5.99,$1.08/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/three-bridges-spinach-&-bell-pepper-egg-bites-00742753347413
Egglife Everything Bagel Egg White Wraps - 6 Ounce,$5.79,was $6.99,$0.97/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/egglife-everything-bagel-egg-white-wraps-00810023540083
Eggland's Best Organic Large Brown Eggs - 1 Each,$6.99,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/egglands-best-organic-large-brown-eggs-00715141716825
Happy Egg Heritage Breed Eggs - 1 Each,$7.49,was $8.99,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/happy-egg-heritage-breed-eggs-00887422000210
Egg Beaters Original Egg Beaters - 16 Ounce,$3.99,,$0.25/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/egg-beaters-original-egg-beaters-00196370002161
Egglife Original Egg White Wraps - 6 Ounce,$5.79,was $6.99,$0.97/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/egglife-original-egg-white-wraps-00810023540007
Happy Egg Free Range Eggs 18ct - 1.5 Each,$7.99,was $8.99,$5.33 each,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/happy-egg-free-range-eggs-18ct-00887422000067
Just Egg Plant Based Vegan Liquid Scramble - 12 Ounce,$4.99,was $5.49,$0.42/oz,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/just-egg-plant-based-vegan-liquid-scramble-00191011000605
Happy Egg Free Range Large Grade A Brown Eggs - 1 Each,$5.49,was $6.49,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/happy-egg-free-range-large-grade-a-brown-eggs-00887422000005
Vital Farms Organic Pasture Raised Large Eggs - 1 Each,$7.49,was $9.99,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/vital-farms-organic-pasture-raised-large-eggs-00861745000027
Happy Egg Organic Free Range Large Grade A Eggs - 1 Each,$6.99,was $7.49,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/happy-egg-organic-free-range-large-grade-a-eggs-00887422000081
Fresh Thyme Organic Large Grade A Brown Eggs - 1 Each,$5.99,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/fresh-thyme-organic-large-grade-a-brown-eggs-00841330109311
Handsome Brook Farm Organic Pasture Raised Eggs - 1 Each,$5.99,was $6.49,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/handsome-brook-farm-organic-pasture-raised-eggs-00866332000107
Penny Smart Large Grade A White Eggs - 1 Each,$2.99,,,"at West Des Moines, IA",https://ww2.freshthyme.com/sm/planning/rsid/951/product/penny-smart-large-grade-a-white-eggs-00713733488198
