Bacon,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Local,Address,State,City,Zip Code,Date Collected,Url,Store
Pederson's Natural Farms No Sugar Uncured Hickory Bacon - 10 Ounce,7.49,7.49,0.625,10 oz,Pederson's natural farms,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Indiana Kitchen Hardwood Smoked Thick Cut Bacon - 16 Ounce,6.49,6.49,1.0,16 oz,Indiana kitchen,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Deli Sliced Thick Cut Peppered Bacon In Bag - 3 Pound,17.97,17.97,3.0,3 lb,Deli,Can't be Determined,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Applegate Naturals Uncured Hickory Smoked Sunday Bacon - 8 Ounce,6.49,6.49,0.5,8 oz,Applegate,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Deli Sliced Thick Cut Applewood Bacon In Bag - 3 Pound,17.97,17.97,3.0,3 lb,Deli,Can't be Determined,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Fresh Thyme Smoked Sliced Uncured Bacon - 12 Ounce,6.49,6.49,0.75,12 oz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Farm Promise Smoked Hardwood Uncured Bacon - 12 Ounce,6.99,6.99,0.75,12 oz,Farm promise,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Farm Promise Smoked Applewood Uncured Bacon - 12 Ounce,6.99,6.99,0.75,12 oz,Farm promise,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Deli Sliced Thick Cut Peppered Bacon - 1 Pound,5.99,5.99,1.0,1 lb,Deli,Can't be Determined,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Pederson's Natural Farms No Sugar Uncured Hickory Bacon - 10 Ounce,7.49,7.49,0.625,10 oz,Pederson's natural farms,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Deli Sliced Thick Cut Peppered Bacon In Bag - 3 Pound,17.97,17.97,3.0,3 lb,Deli,Can't be Determined,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Indiana Kitchen Hardwood Smoked Thick Cut Bacon - 16 Ounce,6.49,6.49,1.0,16 oz,Indiana kitchen,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Deli Sliced Thick Cut Applewood Bacon In Bag - 3 Pound,17.97,17.97,3.0,3 lb,Deli,Can't be Determined,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Deli Sliced Thick Cut Applewood Bacon - 1 Pound,5.99,5.99,1.0,1 lb,Deli,Can't be Determined,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Boar's Head Fully Cooked Traditional Bacon - 2.29 Ounce,7.49,7.49,0.143125,2.29 oz,Boar's head,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Deli Sliced Thick Cut Bacon In Bag - 3 Pound,17.97,17.97,3.0,3 lb,Deli,Can't be Determined,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Boar's Head Naturally Smoked Traditional Bacon - 16 Ounce,7.99,7.99,1.0,16 oz,Boar's head,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Deli Sliced Thick Cut Bacon - 1 Pound,5.99,5.99,1.0,1 lb,Deli,Can't be Determined,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Boar's Head Canadian Style Uncured Bacon - 6 Ounce,5.99,5.99,0.375,6 oz,Boar's head,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Hatfield Maple Brown Sugar Bacon - 22 Ounce,7.99,7.99,1.375,22 oz,,,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Fresh Thyme Smoked Sliced Uncured Turkey Bacon - 12 Ounce,4.69,4.69,0.75,12 oz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Applegate Organics Uncured Hickory Smoked Turkey Bacon - 8 Ounce,7.49,7.49,0.5,8 oz,Applegate,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Pederson's Natural Farms Organic No Sugar Uncured Smoked Bacon - 8 Ounce,7.49,7.49,0.5,8 oz,Pederson's natural farms,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Applegate Naturals Uncured Hickory Smoked Sunday Bacon - 8 Ounce,6.49,6.49,0.5,8 oz,Applegate,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Indiana Kitchen Hardwood Smoked Bacon - 16 Ounce,6.49,6.49,1.0,16 oz,Indiana kitchen,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Fresh Thyme Smoked Sliced Uncured Bacon - 12 Ounce,6.49,6.49,0.75,12 oz,Fresh thyme,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Farm Promise Smoked Hardwood Uncured Bacon - 12 Ounce,6.99,6.99,0.75,12 oz,Farm promise,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Farm Promise Smoked Applewood Uncured Bacon - 12 Ounce,6.99,6.99,0.75,12 oz,Farm promise,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Deli Sliced Thick Cut Peppered Bacon - 1 Pound,5.99,5.99,1.0,1 lb,Deli,Can't be Determined,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Fresh Thyme Fully Cooked Uncured Turkey Bacon - 2.14 Ounce,3.99,3.99,0.13375,2.14 oz,Fresh thyme,Non-local,2900 University Ave. Suite 240,IA,West Des Moines,50266,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/951/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Deli Sliced Thick Cut Applewood Bacon - 1 Pound,5.99,5.99,1.0,1 lb,Deli,Can't be Determined,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Deli Sliced Thick Cut Bacon In Bag - 3 Pound,17.97,17.97,3.0,3 lb,Deli,Can't be Determined,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Indiana Kitchen Hardwood Smoked Bacon - 16 Ounce,6.49,6.49,1.0,16 oz,Indiana kitchen,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
Applegate Organics Uncured Hickory Smoked Turkey Bacon - 8 Ounce,7.49,7.49,0.5,8 oz,Applegate,Non-local,2130 E. Kimberly Rd.,IA,Davenport,52807,2023-07-03,https://ww2.freshthyme.com/sm/planning/rsid/952/results?q=Bacon&take=48&f=Category%3AHot+Dogs%2C+Bacon+%26+Sausage,Fresh Thyme 
HARDWOOD UNCURED BACON,10.99,10.99,0.75,Size: 12 OZ,Dm bacon co,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18483,Gateway Market 
APPLEWOOD SMOKED BACON,10.99,10.99,0.75,Size: 12 OZ,Des moines bacon co.,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18485,Gateway Market 
SLICED SLAB BACON,9.99,9.99,1.0,9.99/lb,Webster city,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-24190,Gateway Market 
BERKWOOD APPLEWOOD BACON,11.99,11.99,,11.99/ea,Berkwood farms,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18553,Gateway Market 
BERKWOOD HICKORY BACON,12.99,12.99,0.75,Size: 12 OZ,Berkwood farms,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33732,Gateway Market 
UNCURED CANADIAN BACON,9.99,9.99,0.4375,Size: 7 OZ,Niman ranch,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18521,Gateway Market 
BACK BACON,9.99,9.99,0.5,Size: 8 OZ,Jolly posh,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18548,Gateway Market 
SMOKED SLICED BACON,13.99,13.99,0.75,Size: 12 OZ,Nueske,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18469,Gateway Market 
PECANWOOD BACON,10.99,10.99,0.75,Size: 12 OZ,Berkwood farms,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33734,Gateway Market 
PEPPERED BACON,12.99,12.99,0.75,Size: 12 OZ,Berkwood farms,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33736,Gateway Market 
NO SUGAR BACON,12.99,12.99,0.75,Size: 12 OZ,Berkwood farms,Local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-33731,Gateway Market 
BACON HICKORY SMOKED,8.99,8.99,0.75,Size: 12 OZ,De bruin ranch,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-29349,Gateway Market 
NIMAN RANCH UNCURED BACON,12.99,12.99,0.75,Size: 12 OZ,Niman ranch,Non-local,2002 Woodland Avenue,IA,Des Moines,50312,2023-07-03,https://gatewaymarket.storebyweb.com/s/1000-1/i/INV-1000-18524,Gateway Market 
Hormel Black Label Thick Cut Bacon,8.39,8.39,1.0,16 oz,Hormel black label,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/11315/Hormel-Black-Label-Thick-Cut-Bacon,Hyvee 
Hormel Black Label Fully Cooked Original Thick Cut Bacon,3.99,5.49,0.1575,2.52 oz,Hormel black label,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/47128/Hormel-Black-Label-Fully-Cooked-Original-Thick-Cut-Bacon,Hyvee 
Applegate Naturals Uncured Sunday Bacon Hickory Smoked,6.89,6.89,0.5,8 oz,Applegate,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/41626/Applegate-Naturals-Uncured-Sunday-Bacon-Hickory-Smoked,Hyvee 
Hy-Vee Double Smoked Thick Sliced Bacon,3.99,6.99,1.0,16 oz Pack,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/57278/HyVee-Double-Smoked-Thick-Sliced-Bacon,Hyvee 
Applegate Naturals No Sugar Uncured Bacon Hickory Smoked,6.89,6.89,0.5,8 oz Pack,Applegate,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/2405550/Applegate-Naturals-No-Sugar-Uncured-Bacon-Hickory-Smoked,Hyvee 
Hy-Vee Sweet Smoked Bacon,3.99,6.99,1.0,16 oz Package,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/57279/HyVee-Sweet-Smoked-Bacon,Hyvee 
Hormel Black Label Original Bacon,8.39,8.39,1.0,16 oz Pack,Hormel black label,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/11366/Hormel-Black-Label-Original-Bacon,Hyvee 
Jimmy Dean Premium Hickory Smoked Bacon,6.29,6.49,0.75,12 oz Package,Jimmy dean,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/2455081/Jimmy-Dean-Premium-Hickory-Smoked-Bacon,Hyvee 
"Farmland Bacon, Double Smoked, Double Thick Cut",7.39,7.39,0.75,12 oz,Farmland,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/3595492/Farmland-Bacon-Double-Smoked-Double-Thick-Cut,Hyvee 
Hormel Black Label Center Cut Bacon,8.39,8.39,0.75,12 oz Pack,Hormel black label,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/47117/Hormel-Black-Label-Center-Cut-Bacon,Hyvee 
Hy-Vee Center Cut Bacon,3.99,6.99,0.75,12 oz Pack,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/57277/HyVee-Center-Cut-Bacon,Hyvee 
Country Smokehouse Thick Applewood Slab Bacon,4.99,8.99,1.0,1 lb,Country smokehouse,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/2199424/Country-Smokehouse-Thick-Applewood-Slab-Bacon,Hyvee 
Hormel Black Label Original Bacon,27.39,27.39,0.75,12 oz Package,Hormel black label,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/77228/Hormel-Black-Label-Original-Bacon,Hyvee 
Farmland Naturally Hickory Smoked Classic Cut Bacon,7.39,7.39,1.0,16 oz,Farmland,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/21239/Farmland-Naturally-Hickory-Smoked-Classic-Cut-Bacon,Hyvee 
Jimmy Dean Premium Applewood Smoked Bacon,6.29,6.49,0.75,12  oz,Jimmy dean,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/2456254/Jimmy-Dean-Premium-Applewood-Smoked-Bacon,Hyvee 
Farmland Naturally Hickory Smoked Thick Cut Bacon,7.39,7.39,1.0,16 oz,Farmland,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/21240/Farmland-Naturally-Hickory-Smoked-Thick-Cut-Bacon,Hyvee 
Hormel Black Label Original Bacon 4Pk,8.99,9.99,0.75,12 oz Box,Hormel black label,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/47159/Hormel-Black-Label-Original-Bacon-4Pk,Hyvee 
Oscar Mayer Naturally Hardwood Smoked Bacon,7.29,9.49,1.0,16 oz Pack,Oscar mayer,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/50315/Oscar-Mayer-Naturally-Hardwood-Smoked-Bacon,Hyvee 
Oscar Mayer Center Cut Original Bacon,6.29,8.99,0.75,12 oz Pack,Oscar mayer,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/50321/Oscar-Mayer-Center-Cut-Original-Bacon,Hyvee 
Oscar Mayer Thick Cut Bacon,7.29,9.49,1.0,16 oz Package,Oscar mayer,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/50316/Oscar-Mayer-Thick-Cut-Bacon,Hyvee 
Country Smokehouse Thick Hickory Smoked Slab Bacon,4.99,8.99,1.0,1 lb,Country smokehouse,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/2199421/Country-Smokehouse-Thick-Hickory-Smoked-Slab-Bacon,Hyvee 
Hickory Country Bacon,4.19,5.99,1.0,16 oz Package,Hickory country,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/104466/Hickory-Country-Bacon,Hyvee 
Hy-Vee Hickory House Applewood Naturally Smoked Thick Sliced Bacon,9.49,9.49,1.5,24 oz Package,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/23975/HyVee-Hickory-House-Applewood-Naturally-Smoked-Thick-Sliced-Bacon,Hyvee 
Hy-Vee Sweet Smoked Thick Sliced Bacon,3.99,6.99,1.0,16 oz,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/23949/HyVee-Sweet-Smoked-Thick-Sliced-Bacon,Hyvee 
Hy-Vee Fully Cooked Hickory Smoked Bacon,4.99,4.99,0.1575,2.52 oz Box,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/23963/HyVee-Fully-Cooked-Hickory-Smoked-Bacon,Hyvee 
Hormel Black Label Applewood Thick Cut Bacon,8.39,8.39,0.75,12 oz Pack,Hormel black label,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/11173/Hormel-Black-Label-Applewood-Thick-Cut-Bacon,Hyvee 
Farmland Naturally Applewood Smoked Classic Cut Bacon,7.39,7.39,1.0,16 oz,Farmland,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/21317/Farmland-Naturally-Applewood-Smoked-Classic-Cut-Bacon,Hyvee 
Farmland Naturally Hickory Smoked Thick Cut Bacon Package,13.69,13.69,1.5,24 oz Zip Pak,Farmland,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/21238/Farmland-Naturally-Hickory-Smoked-Thick-Cut-Bacon-Package,Hyvee 
Hy-Vee Lower Sodium Sweet Smoked Bacon,3.99,6.99,1.0,16 oz Pack,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/23948/HyVee-Lower-Sodium-Sweet-Smoked-Bacon,Hyvee 
Wright Naturally Hickory Smoked Bacon,12.59,12.59,1.5,24 oz,Wright,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/458259/Wright-Naturally-Hickory-Smoked-Bacon,Hyvee 
Hormel Natural Choice Uncured Original Bacon 12 oz,8.39,8.39,0.75,12 oz Pack,Hormel,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/11384/Hormel-Natural-Choice-Uncured-Original-Bacon-12-oz,Hyvee 
Jimmy Dean FC Hickory Bacon,6.29,6.49,0.1375,2.2 oz Package,Jimmy dean,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/2476490/Jimmy-Dean-FC-Hickory-Bacon,Hyvee 
Smithfield Hometown Original Bacon,3.99,6.49,0.75,12 oz Package,Smithfield,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/1646677/Smithfield-Hometown-Original-Bacon,Hyvee 
Farmland Naturally Hickory Smoked Lower Sodium Classic Cut Bacon,7.39,7.39,1.0,16 oz Package,Farmland,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/53849/Farmland-Naturally-Hickory-Smoked-Lower-Sodium-Classic-Cut-Bacon,Hyvee 
Hormel Black Label Maple Bacon,8.39,8.39,0.75,12 oz Pack,Hormel black label,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/47121/Hormel-Black-Label-Maple-Bacon,Hyvee 
Oscar Mayer Fully Cooked Original Bacon 2.52 oz. Box,6.89,6.89,0.1575,2.52 oz Box,Oscar mayer,Non-local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/164627/Oscar-Mayer-Fully-Cooked-Original-Bacon-252-oz-Box,Hyvee 
Hy-Vee Hickory House Hickory Smoked Thick Sliced Bacon,9.49,9.49,1.5,24 oz Package,Hy-vee,Local,,,,,2023-07-03,https://www.hy-vee.com/aisles-online/p/23974/HyVee-Hickory-House-Hickory-Smoked-Thick-Sliced-Bacon,Hyvee 
